service,source_page,time_gyr,z,h_data_nominal,h_data_sigma,h_flrw,flrw_dev_sigma,h_mult,mult_dev_sigma,w_eff,h_weff,weff_dev_sigma,beta_d,beta_q,notes
ChatGPT,16,13.5,0.00,73.0,1.0,67.4,-5.6,73.0,0.0,-1.30,73.0,0.0,0.78,0.19,w_eff from formula
ChatGPT,16,13.0,0.06,69.0,3.0,68.1,-0.3,70.2,0.4,-1.25,69.3,0.1,0.78,0.19,
ChatGPT,16,12.0,0.14,74.0,4.0,69.3,-1.2,73.5,-0.1,-1.20,74.1,0.03,0.78,0.19,
ChatGPT,16,11.0,0.25,79.0,4.5,71.5,-1.7,78.8,-0.04,-1.15,79.2,0.04,0.78,0.19,
ChatGPT,16,10.0,0.40,82.0,5.0,75.0,-1.4,83.1,0.2,-1.10,82.3,0.1,0.78,0.19,
ChatGPT,16,9.0,0.65,92.0,7.0,83.0,-1.3,91.4,-0.1,-1.05,92.4,0.1,0.78,0.19,
ChatGPT,16,8.0,1.00,105.0,8.0,95.7,-1.2,104.2,-0.1,-1.01,105.3,0.04,0.78,0.19,
ChatGPT,16,7.0,1.50,125.0,15.0,114.8,-0.7,126.5,0.1,-0.98,125.6,0.04,0.78,0.19,
ChatGPT,16,6.0,2.10,150.0,20.0,140.3,-0.5,151.8,0.1,-0.96,150.5,0.03,0.78,0.19,
ChatGPT,16,5.0,3.20,195.0,30.0,187.6,-0.2,197.3,0.1,-0.95,195.2,0.01,0.78,0.19,
ChatGPT,16,4.0,5.00,270.0,50.0,265.2,-0.1,271.5,0.03,-0.97,270.2,0.004,0.78,0.19,
ChatGPT,16,3.0,8.50,420.0,90.0,398.5,-0.2,418.1,-0.02,-1.00,420.1,0.001,0.78,0.19,
